,id,name,last_modified
156,1009201,Blok,1969-12-31T19:00:00-0500
157,1009202,Bloke,1969-12-31T19:00:00-0500
158,1011416,Blonde Phantom,2011-09-07T16:35:07-0400
159,1011073,Bloodaxe,1969-12-31T19:00:00-0500
160,1009203,Bloodscream,1969-12-31T19:00:00-0500
161,1009204,Bloodstorm,1969-12-31T19:00:00-0500
162,1010850,Bloodstrike,1969-12-31T19:00:00-0500
163,1011113,Blue Blade,1969-12-31T19:00:00-0500
164,1011339,Blue Marvel,2016-02-01T16:10:26-0500
165,1011264,Blue Shield,1969-12-31T19:00:00-0500
166,1010688,Blur,1969-12-31T19:00:00-0500
167,1011119,"Bob, Agent of Hydra",2012-01-11T11:47:30-0500
168,1010366,Boom Boom,1969-12-31T19:00:00-0500
169,1009205,Boomer,1969-12-31T19:00:00-0500
170,1010371,Boomerang,2014-01-27T16:28:50-0500
171,1009206,Box,1969-12-31T19:00:00-0500
172,1011236,Bride of Nine Spiders (Immortal Weapons),2011-05-26T17:53:05-0400
173,1014981,Bromley,2010-11-18T15:53:49-0500
174,1009208,Brood,2013-10-17T14:53:39-0400
175,1011090,Brother Voodoo,2016-07-26T13:04:55-0400
176,1009209,Brotherhood of Evil Mutants,2014-06-16T10:40:40-0400
177,1014973,Brotherhood of Mutants (Ultimate),2012-07-10T19:23:41-0400
178,1009167,Bruce Banner,2012-01-14T21:29:21-0500
179,1009210,Brute,1969-12-31T19:00:00-0500
180,1009211,Bucky,2012-01-01T14:19:35-0500
181,1011038,Bug,1969-12-31T19:00:00-0500
182,1010887,Bulldozer,1969-12-31T19:00:00-0500
183,1009212,Bullseye,2016-02-03T16:49:50-0500
184,1009213,Bushwacker,1969-12-31T19:00:00-0500
185,1011101,Butterfly,1969-12-31T19:00:00-0500
186,1009214,Cable,2016-03-28T12:36:31-0400
187,1017317,Cable (Deadpool),2013-09-18T11:09:40-0400
188,1017307,Cable (Marvel: Avengers Alliance),2013-09-18T10:17:39-0400
189,1011252,Cable (Ultimate),2014-03-05T13:17:31-0500
190,1017472,Cable (X-Men: Battle of the Atom),2014-01-15T19:37:30-0500
191,1011209,Calamity,1969-12-31T19:00:00-0500
192,1009216,Caliban,2013-12-26T15:01:09-0500
193,1009217,Callisto,1969-12-31T19:00:00-0500
194,1010912,Callisto (Age of Apocalypse),2014-04-29T14:14:52-0400
195,1009218,Calypso,1969-12-31T19:00:00-0500
196,1011139,Cammi,1969-12-31T19:00:00-0500
197,1009219,Cannonball,2013-07-01T12:49:17-0400
198,1011276,Cap'n Oz,1969-12-31T19:00:00-0500
199,1009220,Captain America,2020-04-04T19:01:59-0400
200,1010914,Captain America (House of M),2014-03-05T13:17:50-0500
201,1017295,Captain America (LEGO Marvel Super Heroes),2013-09-18T11:15:29-0400
202,1017327,Captain America (Marvel War of Heroes),2013-09-18T11:00:38-0400
203,1017575,Captain America (Sam Wilson),2014-11-17T17:46:57-0500
204,1010913,Captain America (Ultimate),2014-03-05T13:17:57-0500
205,1017105,Captain America/Steve Rogers (MAA),2013-09-18T15:49:41-0400
206,1009223,Captain Britain,2016-02-01T14:12:29-0500
207,1017856,Captain Britain (Betsy Braddock),2021-08-05T18:54:18-0400
208,1010915,Captain Britain (Ultimate),1969-12-31T19:00:00-0500
209,1011190,Captain Cross,1969-12-31T19:00:00-0500
210,1011196,Captain Flint,1969-12-31T19:00:00-0500
211,1010338,Captain Marvel (Carol Danvers),2020-07-21T10:33:02-0400
212,1011096,Captain Marvel (Genis-Vell),1969-12-31T19:00:00-0500
213,1009224,Captain Marvel (Mar-Vell),2013-10-17T14:53:19-0400
214,1011095,Captain Marvel (Monica Rambeau),2016-06-16T14:25:15-0400
215,1011097,Captain Marvel (Phyla-Vell),1969-12-31T19:00:00-0500
216,1011355,Captain Midlands,1969-12-31T19:00:00-0500
217,1009225,Captain Stacy,1969-12-31T19:00:00-0500
218,1011027,Captain Universe,1969-12-31T19:00:00-0500
219,1011052,Cardiac,1969-12-31T19:00:00-0500
220,1010143,Caretaker,1969-12-31T19:00:00-0500
