,char_id,com_id
1039,1010370,12755
1040,1010370,7201
1041,1010370,12754
1042,1010370,7200
1043,1010370,7199
1044,1010370,12753
1045,1010370,12752
1046,1010370,12751
1047,1010370,12750
1048,1010370,12749
1049,1010370,12748
1050,1010370,12747
1051,1010370,12746
1052,1010370,12744
1053,1010370,12743
1054,1010370,12742
1055,1010370,12741
1056,1010370,12740
1057,1010370,62677
1058,1010370,12739
1059,1010370,12738
1060,1010370,12737
1061,1010370,12736
1062,1010370,12735
1063,1010370,12733
1064,1010370,12732
1065,1010370,12731
1066,1010370,12730
1067,1010370,12729
1068,1010370,12728
1069,1010370,12727
1070,1010370,12726
1071,1010370,12725
1072,1010370,12724
1073,1010370,12722
1074,1010370,12721
1075,1010370,12720
1076,1010370,12719
1077,1010370,12718
1078,1010370,12717
1079,1010370,12716
1080,1010370,12715
1081,1010370,12714
1082,1010370,12713
1083,1010370,12711
1084,1010370,12710
1085,1010370,12709
1086,1010370,12708
1087,1010370,12707
1088,1010370,12706
1089,1010370,12705
1090,1010370,12704
1091,1010370,12703
1092,1010370,12702
1093,1010370,12700
1094,1010370,7144
1095,1010370,12699
1096,1010370,19802
1097,1010370,12698
1098,1010370,12697
1099,1010370,12696
1100,1010370,12695
1101,1010370,12694
1102,1010370,12693
1103,1010370,12692
1104,1010370,12691
1105,1010370,12689
1106,1010370,62578
1107,1010370,9124
1108,1010370,62577
1109,1010370,12688
1110,1010370,12687
1111,1010370,12686
1112,1010370,12685
1113,1010370,12684
1114,1010370,12683
1115,1010370,12682
1116,1010370,12681
1117,1010370,12680
1118,1010370,12678
1119,1010370,12677
1120,1010370,12676
1121,1010370,12675
1122,1010370,12674
1123,1010370,12673
1124,1010370,12671
1125,1010370,12660
1126,1010370,12649
1127,1010370,12638
1128,1010370,12756
1129,1010370,12745
1130,1010370,12734
1131,1010370,12723
1132,1010370,12712
1133,1010370,12701
1134,1010370,12690
1135,1010370,12679
1136,1010370,12637
1137,1010370,12148
1138,1010370,19558
957,1011324,21326
958,1011324,21177
1015,1011227,103443
1016,1011227,95679
1017,1011227,81193
1018,1011227,83996
1019,1011227,83995
1020,1011227,83994
1021,1011227,77005
1022,1011227,77004
1023,1011227,73813
1024,1011227,77002
1025,1011227,73812
1026,1011227,77001
1027,1011227,77259
1028,1011227,76616
1029,1011227,76615
1030,1011227,73807
1031,1011227,73806
1032,1011227,73805
1033,1011227,73546
1034,1011227,73545
1035,1011227,67985
1036,1011227,67984
1037,1011227,67983
1038,1011227,67982
1039,1011227,67981
1040,1011227,67014
1041,1011227,67345
1042,1011227,68424
1043,1011227,67335
1044,1011227,67344
1045,1011227,66842
1046,1011227,66757
1047,1011227,66536
1048,1011227,66541
1049,1011227,66272
1050,1011227,66282
1051,1011227,65909
1052,1011227,61457
1053,1011227,65286
1054,1011227,62237
1055,1011227,61456
