,id,title,start,end,next,previous,modified
49,287,Heroic Age,2010-04-25 00:00:00,2012-04-25 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/294', 'name': 'The Thanos Imperative'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/279', 'name': 'X-Men: Second Coming'}",2013-11-18T17:35:22-0500
50,294,The Thanos Imperative,2010-08-26 00:00:00,2011-01-05 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/59', 'name': 'Shadowland'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/287', 'name': 'Heroic Age'}",2013-10-18T12:42:10-0400
51,59,Shadowland,2010-09-08 00:00:00,2010-12-02 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/296', 'name': 'Chaos War'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/294', 'name': 'The Thanos Imperative'}",2013-06-25T17:55:47-0400
52,296,Chaos War,2010-10-01 00:00:00,2011-03-06 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/303', 'name': 'Age of X'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/59', 'name': 'Shadowland'}",2013-06-21T11:10:00-0400
53,303,Age of X,2011-01-26 00:00:00,2011-05-01 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/302', 'name': 'Fear Itself'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/296', 'name': 'Chaos War'}",2013-06-28T18:34:27-0400
54,302,Fear Itself,2011-04-16 00:00:00,2011-10-18 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/306', 'name': 'X-Men: Schism'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/303', 'name': 'Age of X'}",2013-06-21T11:17:51-0400
55,306,X-Men: Schism,2011-07-04 00:00:00,2011-10-05 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/304', 'name': 'Point One'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/302', 'name': 'Fear Itself'}",2013-07-01T22:58:01-0400
56,304,Point One,2011-08-03 00:00:00,2037-01-01 01:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/305', 'name': 'Spider-Island'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/306', 'name': 'X-Men: Schism'}",2013-11-18T17:41:03-0500
57,305,Spider-Island,2011-08-29 00:00:00,2011-11-11 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/308', 'name': 'X-Men: Regenesis'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/304', 'name': 'Point One'}",2013-07-18T13:36:07-0400
58,308,X-Men: Regenesis,2011-10-12 00:00:00,2012-04-25 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/309', 'name': 'Shattered Heroes'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/305', 'name': 'Spider-Island'}",2013-08-19T16:17:57-0400
59,309,Shattered Heroes,2011-10-19 00:00:00,2012-04-22 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/310', 'name': 'Avengers VS X-Men'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/308', 'name': 'X-Men: Regenesis'}",2013-06-28T18:41:03-0400
60,310,Avengers VS X-Men,2012-04-04 00:00:00,2012-09-19 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/311', 'name': 'Marvel NOW!'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/309', 'name': 'Shattered Heroes'}",2020-02-28T14:25:37-0500
61,311,Marvel NOW!,2012-10-10 00:01:00,2037-12-31 01:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/314', 'name': 'Age of Ultron'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/310', 'name': 'Avengers VS X-Men'}",2014-01-22T11:53:23-0500
62,314,Age of Ultron,2013-03-06 00:00:00,2013-06-19 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/315', 'name': 'Infinity'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/311', 'name': 'Marvel NOW!'}",2014-03-25T15:39:52-0400
63,315,Infinity,2013-08-14 00:00:00,2013-10-31 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/316', 'name': 'X-Men: Battle of the Atom'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/314', 'name': 'Age of Ultron'}",2013-12-24T10:52:15-0500
64,316,X-Men: Battle of the Atom,2013-09-04 00:00:00,2013-10-31 00:01:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/317', 'name': 'Inhumanity'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/315', 'name': 'Infinity'}",2013-07-31T11:01:52-0400
65,317,Inhumanity,2013-12-04 00:01:00,2014-01-29 23:59:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/319', 'name': 'Original Sin'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/316', 'name': 'X-Men: Battle of the Atom'}",2013-11-08T16:13:30-0500
66,319,Original Sin,2014-05-01 00:00:00,2014-08-31 23:59:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/320', 'name': 'Axis'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/317', 'name': 'Inhumanity'}",2014-03-28T11:47:59-0400
67,320,Axis,2014-10-08 00:01:00,2014-12-17 11:59:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/321', 'name': 'Spider-Verse'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/319', 'name': 'Original Sin'}",2014-08-22T15:20:00-0400
68,321,Spider-Verse,2014-11-01 00:01:00,2015-03-31 23:59:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/323', 'name': 'Secret Wars (2015)'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/320', 'name': 'Axis'}",2014-08-27T13:46:04-0400
69,323,Secret Wars (2015),2015-05-01 07:01:00,2015-12-31 07:59:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/332', 'name': 'Dead No More: The Clone Conspiracy'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/321', 'name': 'Spider-Verse'}",2016-06-30T13:49:59-0400
70,332,Dead No More: The Clone Conspiracy,2016-10-12 01:00:00,2017-02-01 01:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/336', 'name': 'Secret Empire'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/323', 'name': 'Secret Wars (2015)'}",2020-02-28T14:25:35-0500
71,336,Secret Empire,2017-04-19 01:00:00,2017-08-09 01:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/322', 'name': 'Avengers NOW!'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/332', 'name': 'Dead No More: The Clone Conspiracy'}",2017-06-30T11:32:46-0400
72,322,Avengers NOW!,2037-01-01 01:00:00,2037-01-01 01:00:00,,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/336', 'name': 'Secret Empire'}",2015-08-03T12:17:04-0400
